RANumb,Text,Label
ra5,"Effective date: August 25, 2023",Updated Privacy Policy
ra5,"Information We Collect\n\nWe collect information directly from you, from third parties, and automatically through your use of the Quora Platform.\n\nAccount and Profile Data. When you create an account and profile on the Quora Platform, we collect your name, email address, and other information you provide, such as topics that you know about or find interesting. You can choose to add your photo, country of residence, place of employment, education history, and any other information to your public-facing profile. Once you create a profile, others will be able to see certain information about your activity on the Quora Platform, such as the questions and answers you post, your followers and who you follow, topics of interest to you, and your credentials.\nYour Content. We collect the information and content that you post to the Quora Platform, including your questions, answers, comments, photos, and the edit history to your content. Unless you have posted certain content anonymously, your content, date and time stamps, and all associated comments are publicly viewable on the Quora Platform. Your content may be indexed by search engines and be republished elsewhere on the Internet in accordance with our Terms of Service.\nCommunication Records. We maintain a record when you communicate with us via email, through the Quora Platform, or otherwise. The Quora Platform also provides a “Messages” feature that allows you to send direct messages through the Quora Platform to other users",Categories of Personal Information Collected
ra5,"We store these communications and information related to these messages, such as the date of the communication and to whom it was sent.\nThird Party Application Login. You can log into your Quora account using third party applications (e.g., Facebook, Google, and Apple). When you log in using this method, you allow us to we collect and process your name and email address associated with that third party application for authentication and identity verification purposes. ",Categories of Personal Information Collected
ra5,You can also choose to import your contacts to your Quora account to connect with your friends on the Quora Platform.,Categories of Personal Information Collected
ra5,"Cookies and Similar Technologies. We and our third party providers use cookies, log files, pixel tags, local storage objects, and other similar technologies to automatically collect information about your activities, such as your searches, page views, date and time of your visit, and other information about your use of the Quora Platform. We also collect information about your web browser or mobile device in connection with your use of the Quora Platform such as your browser type, type of computer or mobile device, browser language, IP address, mobile carrier, unique device identifier, and requested and referring URLs. We also receive information when you view content on or otherwise interact with the Quora Platform, even if you have not created an account. ",Categories of Personal Information Collected
ra5,"Billing and Payment Data. We collect billing information if you subscribe to the Quora + Platform, and we collect payment information if you are a paid Quora creator via the Quora Partner Program. Depending on your location, this information may include your billing address, social security number, last four digits of your credit card or debit card, phone number, and email address.\nPlatform Engagement Data. We collect platform engagement and browsing information, such as IP address, date and time stamp, user agent, Quora cookie ID, URLs visited, unique advertising identifiers (including mobile device advertising identifiers) or content identifiers (if applicable), time zone, and other information about your activity on the Quora Platform. We also collect this information from third-party sites and services that have embedded our Quora Ppixels (“Pixels”), widgets, plug-ins, buttons, or related technologies.",Categories of Personal Information Collected
ra5,"Data From Advertisers. Third party advertisers who use our Ad Services may also provide us with information about you as part of their ad campaigns (e.g., email addresses) to create custom audiences for personalizing their ad campaigns or for measuring the effectiveness of their ads.",Categories of Personal Information Collected
ra5,"How We Use Your Information and Legal Basis for Processing\n\nWe process the information we collect for the following purposes, and under the following legal basis.",Categories of Personal Information Collected
ra5,"Provide our Services. To provide you the services we offer on the Quora Platform and make the Quora Platform available to the public, communicate with you about your use of the Quora Platform, respond to your inquiries, provide troubleshooting, and for other customer service purposes. This is so we can comply with our contractual obligations to you.\nPersonalization. To tailor the content and information that we or our third party content publishers or advertisers may send or display to you in the Quora Platform. We also use your information to suggest followers and content, to help others find your profile, to offer location customization, and personalized help and instructions, and to otherwise personalize your experiences while using the Quora Platform",Categories of Personal Information Collected
ra5,"Billing and Payment. To collect payments (for example, if you are a Quora+ subscriber) and pay our service providers and content creators. This information is collected so that we can comply with our contractual obligations to you.\nAdvertising. To display interest-based, retargeted, contextual, and behavioral advertising to you in the Quora Platform. We also may use your information, to improve our advertising and measurement systems so we can show you relevant ads and to measure the effectiveness and reach of ads and services. It is in our legitimate business interests to provide advertising. ",Categories of Personal Information Collected
ra5,"Marketing and Promotions. For marketing and promotional purposes, such as to send you news, special offers, promotions, or to otherwise contact you about products or information we think may interest you, including information about third-party products and services. It is in our legitimate interest to provide more relevant and interesting marketing and promotions messages. ",Categories of Personal Information Collected
ra5,Enable Communications. To facilitate communications you send to us or to other users on the Quora Platform. We process information about who you have communicated with to better understand the use of our services.,Categories of Personal Information Collected
ra5,"Analytics. To gather analytics and metrics to better understand how users use the Quora Platform. We also use analytics data to evaluate and improve the Quora Platform, including the Ad Services and personalization, and to develop new products and services. ",Categories of Personal Information Collected
ra5,"Comply with Law. To comply with legal obligations, as part of our general business operations, and for other business administration purposes. This processing is necessary to comply with legal obligations and to serve our legitimate business interests in complying with the laws to which we are subject.\nPrevent Fraud and Misuse. To investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the safety of any person or violations of our Terms of Service or this Privacy Policy. This processing is necessary to comply with legal obligations and to serve our legitimate interest in preventing misuse of the Quora platform, including through illegal activities and fraud.\nUser Research. We may ask you to help us test new features or participate in surveys to help enhance your Quora experience. ",Categories of Personal Information Collected
